time;throughput (kbps)
132.9;34383.8
133;41966.9
133.1;54463.5
133.2;35801.6
133.3;34001.8
133.4;40339.8
133.5;50369.1
133.6;40268.1
133.7;47352
133.8;34608.2
133.9;33836.5
134;28356
134.1;60388.5
134.2;47361.4
134.3;37680.2
134.4;41659.4
134.5;57174
134.6;38783.8
134.7;46918.5
134.8;40547.8
134.9;39400.6
135;37249.2
135.1;34481.5
135.2;37648.6
135.3;42943.1
135.4;48169.9
135.5;42068.9
135.6;51810.6
135.7;40962.7
135.8;35190.2
135.9;42645.4
136;44027.8
136.1;32060.8
136.2;45315.6
136.3;38503.8
136.4;44647.4
136.5;26272.1
136.6;55671.8
136.7;37305.8
136.8;38763.7
136.9;25763.1
137;28634
137.1;37078.6
137.2;36811.7
137.3;34787.6
137.4;51478.7
137.5;26291.1
137.6;31916.3
137.7;33434.8
137.8;41580.2
137.9;25022.9
138;33087.8
138.1;40363.2
138.2;22552.4
138.3;53485.8
138.4;32288.3
138.5;23591.8
138.6;33355.5
138.7;51917.4
138.8;42252.9
138.9;35517
139;42577.1
139.1;40577.4
139.2;43233.1
139.3;39271.8
139.4;34905
139.5;47845.1
139.6;43256.9
139.7;43782.1
139.8;36272.2
139.9;47959.2
140;42877.3
140.1;41408.7
140.2;43252.4
140.3;27056.2
140.4;32477.8
140.5;39744.6
140.6;50695.2
140.7;31446.5
140.8;30930.7
140.9;45687.3
141;50711.7
141.1;34700.9
141.2;36420.8
141.3;32491
141.4;23719.8
141.5;59579.2
141.6;44694.2
141.7;35784.2
141.8;27842.2
141.9;23283.1
142;31090.6
142.1;36239
142.2;41880.2
142.3;44099.7
142.4;44311.5
142.5;33292.2
142.6;28494.6
142.7;69848.8
142.8;35759.8
142.9;38005.9
143;35616.3
143.1;36187.2
143.2;43905
143.3;73711
143.4;32326.2
143.5;33244.1
143.6;42341
143.7;45960.8
143.8;42403.3
143.9;39273.4
144;42708.2
144.1;55400.7
144.2;57732
144.3;54657.8
144.4;42024.8
144.5;37988.2
144.6;58772.9
144.7;43301.2
144.8;32220.6
144.9;47800.6
145;54496.4
145.1;35766.2
145.2;34449.4
145.3;45079.4
145.4;50345.4
145.5;52141.6
145.6;30006.9
145.7;43690.5
145.8;43906.6
145.9;50476.5
146;45354.6
146.1;54324.5
146.2;29534.3
146.3;27879.1
146.4;30573.8
146.5;31498.6
146.6;39735.9
146.7;31360.9
146.8;40911
146.9;39023.8
147;39107.4
147.1;19795.8
147.2;22287.7
147.3;24916.6
147.4;30090.1
147.5;41917.5
147.6;49139
147.7;39158.7
147.8;35572.9
147.9;33128.3
148;40105
148.1;36628.1
148.2;53338.3
148.3;24459.3
148.4;38034.4
148.5;47651.2
148.6;22313.1
148.7;38752.7
148.8;41391.4
148.9;34854.2
149;46653
149.1;29784.6
149.2;45543.8
149.3;35917.4
149.4;44715
149.5;36739.3
149.6;34391
149.7;31998.6
149.8;40289.8
149.9;32514.3
150;42796.3
150.1;37016.8
150.2;34560.1
150.3;36053
150.4;36087
150.5;31842.6
150.6;50983.9
150.7;38565.6
150.8;30867
150.9;41217.4
151;42515.9
151.1;25848
151.2;45552.7
151.3;27401.6
151.4;27160.4
151.5;27194.3
151.6;40073.4
151.7;38550.5
151.8;44362.6
151.9;22584.8
152;28859.6
152.1;22197.7
152.2;34090
152.3;46843.2
152.4;33507.9
152.5;31348
152.6;32011.2
152.7;42703
152.8;37371.5
152.9;47453.5
153;37779.1
153.1;35281.4
153.2;34636.9
153.3;33429.6
153.4;59395
153.5;42122.3
153.6;48573.8
153.7;42487.8
153.8;43716.3
153.9;42692.4
154;39391.4
154.1;46226.5
154.2;58625.3
154.3;41467.6
154.4;40924.8
154.5;35148.2
154.6;48422.9
154.7;31894.9
154.8;35087.1
154.9;42340.4
155;37892.3
155.1;39211.7
155.2;59867.8
155.3;35506.5
155.4;32114.4
155.5;41687.9
155.6;40129.5
155.7;38746.2
155.8;28990.6
155.9;55447
156;30625.7
156.1;37755
156.2;37830.4
156.3;47157.3
156.4;38671
156.5;57861.1
156.6;32913.9
156.7;28012.2
156.8;25407
156.9;32752.3
157;49289.9
157.1;36024.6
157.2;43315.3
157.3;37620.6
157.4;34444.3
157.5;23894.1
157.6;33153.1
157.7;47689.8
157.8;40490.2
157.9;41141.5
158;46193.8
158.1;33730
158.2;37887.3
158.3;36905.4
158.4;40929
158.5;28931.5
158.6;29360.8
158.7;28948.2
158.8;33325.6
158.9;69709.3
159;38695.7
159.1;51914.6
159.2;34809.4
159.3;31099.5
159.4;45105.7
159.5;36697
159.6;56323.6
159.7;44683.8
159.8;27128.4
159.9;38312.6
160;37005.2
160.1;46268.6
160.2;44900.1
160.3;30577.9
160.4;38492.2
160.5;30237.4
160.6;37937.6
160.7;61214.6
160.8;22735.2
160.9;45188.6
161;47580.8
161.1;30766.9
161.2;36104.3
161.3;32584.8
161.4;30491.3
161.5;45004.7
161.6;36782.6
161.7;41728.1
161.8;51531.4
161.9;27976.8
162;30642.2
162.1;37394.4
162.2;48660.1
162.3;33748.2
162.4;31069
162.5;44504.6
162.6;45820.5
162.7;33404.6
162.8;46032.6
162.9;22483.4
163;38241
163.1;28111.7
163.2;45494.2
163.3;22743.6
163.4;36099.7
163.5;28377.2
163.6;33328
163.7;32190.9
163.8;48140.2
163.9;34497.8
164;41225.3
164.1;26359.1
164.2;28740.4
164.3;29985.4
164.4;46342.4
164.5;30266.8
164.6;28697
164.7;40600
164.8;31543.4
164.9;29152.2
165;51034
165.1;36314.1
165.2;33676.9
165.3;27539.2
165.4;26705.6
165.5;43970.9
165.6;38494
165.7;43782.6
165.8;27895.3
165.9;46781
166;23153.2
166.1;38416
166.2;41216.5
166.3;44380.3
166.4;38628.3
166.5;54761.4
166.6;50137.9
166.7;38515.6
166.8;35687.2
166.9;37211.8
167;30721.6
167.1;26246.5
167.2;51617.9
167.3;37144.2
167.4;35899
167.5;41646.2
167.6;37697.8
167.7;21938.3
167.8;26983.9
167.9;35196.4
168;37610.1
168.1;45073.8
168.2;24033
168.3;37445.4
168.4;25499.4
168.5;40502.6
168.6;27978.8
168.7;53858.1
168.8;48862
168.9;29586.6
169;45717.3
169.1;35990.1
169.2;21907.4
169.3;31643.8
169.4;30991
169.5;39817.4
169.6;26154
169.7;34556.5
169.8;32766.7
169.9;32664
170;39461.4
170.1;36642.9
170.2;27690.7
170.3;35058.2
170.4;37088.6
170.5;26754.6
170.6;37636.6
170.7;24786.2
170.8;37988.7
170.9;35988.2
171;34231.9
171.1;34716.1
171.2;56584.3
171.3;44355.9
171.4;37728.6
171.5;29744.6
171.6;49760.2
171.7;49779.4
171.8;45613.3
171.9;46516.4
172;51652.2
172.1;44372.2
172.2;59654.6
172.3;46088.1
172.4;33599.3
172.5;33491.8
172.6;43437.6
172.7;54924.2
172.8;40719.9
172.9;43010
173;30786.2
173.1;41096.5
173.2;42982.2
173.3;42315.2
173.4;43725.3
173.5;29011.2
173.6;38993.1
173.7;60231.8
173.8;37267.1
173.9;43382.6
174;37360.4
174.1;38346.2
174.2;38577.4
174.3;34781.4
174.4;41750.8
174.5;47668.5
174.6;42020.2
174.7;40269.9
174.8;25017.3
174.9;31035.4
175;59840.1
175.1;35798.5
175.2;40461
175.3;28552.5
175.4;19896.4
175.5;62822.9
175.6;36660.4
175.7;33072.3
175.8;33201.6
175.9;46805.9
176;26242
176.1;44009.8
176.2;42953.7
176.3;38124.6
176.4;33745.3
176.5;39808.9
176.6;53211.4
176.7;30793.4
176.8;34953.6
176.9;21456.9
177;32793.5
177.1;38001
177.2;55932
177.3;55928
177.4;30627.5
177.5;40220.5
177.6;35042.2
177.7;44552.8
177.8;30174.6
177.9;28616.9
178;36466.5
178.1;34711.8
178.2;36722.3
